miasto_id|region_panstwa_id|nazwa
1|1|Michealberg
2|1|New Lauraport
3|1|East Joseph
4|1|Michaelstad
5|2|West Tammy
6|2|New John
7|2|Evanston
8|2|Lake Ariel
9|2|Brucehaven
10|3|Brianbury
11|3|Tomville
12|3|North Johnbury
13|3|Weberside
14|3|Michaelview
15|3|Montesmouth
16|4|Haleyburgh
17|4|Taylormouth
18|4|Lindsayburgh
19|4|West Joshuaberg
20|4|Tannerberg
21|5|Tomton
22|5|Michellefurt
23|5|New Christopherport
24|5|East Thomasfort
25|5|Lake Jonathan
26|5|Jasonfurt
27|5|Gatesburgh
28|6|New Veronicahaven
29|6|Ferrellmouth
30|6|Edwinmouth
31|6|Andersonbury
32|7|East Kylefurt
33|7|North Cynthiaborough
34|7|Port Davidshire
35|7|Harrisonstad
36|7|Jameston
37|7|Donaldborough
38|8|New Jessica
39|8|Skinnerfort
40|8|South Tyler
41|8|North Pamview
42|8|Lake Kristine
43|9|Emilyhaven
44|9|Benjaminhaven
45|9|Lake Paulport
46|9|Arnoldbury
47|9|West Lauramouth
48|9|Jimmouth
49|9|Schmidtview
50|9|West Ravenhaven
51|10|South Stephaniefort
52|10|Lake Kennethfurt
53|10|Reginaburgh
54|10|Joshuashire
55|10|East Saraton
56|11|Fraziermouth
57|11|Mercadoshire
58|11|Stephenmouth
59|11|Andrewshire
60|11|New Isaiahfurt
61|11|Hansenmouth
62|12|Leonardview
63|12|Warrenport
64|12|Lake Vanessamouth
65|12|Lake Zacharyshire
66|13|Smithside
67|13|Davidton
68|13|New Nicoleport
69|13|Daystad
70|13|Carlsonside
71|13|Lake Karina
72|14|Tylerville
73|14|East John
74|14|Jessicachester
75|14|Williamsfurt
76|14|Charlesland
77|14|Elizabethborough
78|14|South Joseph
79|14|West Andrew
80|15|West Harry
81|15|North Debra
82|15|Davidport
83|15|Lake Troy
84|15|West Jamesmouth
85|15|Nortonfort
86|15|Williamschester
87|15|South Tara
88|16|Levinebury
89|16|Kathleenfurt
90|16|Michellestad
91|16|Victoriaborough
92|16|Port Jessicaburgh
93|16|North Jay
94|16|New Daniel
95|17|West Michael
96|17|Lake Victoria
97|17|Lake Gwendolyn
98|18|West Sally
99|18|Rodriguezburgh
100|18|North Richardtown
101|18|New Daisystad
102|19|Michaelshire
103|19|East Taylor
104|19|Bennettberg
105|19|North Robert
106|19|North Mariahbury
107|20|New Francisside
108|20|Whiteshire
109|20|East Stephanie
110|20|New Melanie
111|20|Kellychester
112|20|Fitzgeraldside
113|20|Lake Amy
114|21|South John
115|21|West Michaelton
116|21|Port Shaneport
117|21|Phelpsberg
118|21|East Connietown
119|21|Port Brandyfurt
120|21|East Matthew
121|22|West Ericberg
122|22|Maysberg
123|22|Sandrachester
124|23|East Meganmouth
125|23|Bellland
126|23|West Scott
127|23|Charlesmouth
128|23|West Kellyhaven
129|23|West Destiny
130|23|Shirleyborough
131|23|Wadefort
132|24|Jordanmouth
133|24|South Caleb
134|24|New Robinfort
135|24|Kiaraton
136|24|Doylefurt
137|24|Charlesport
138|24|Port Joshuachester
139|25|South David
140|25|East Alexiston
141|25|Lake Curtis
142|26|East Shirleyberg
143|26|South Jeffbury
144|26|Bonillashire
145|27|North Danielbury
146|27|Alyssaton
147|27|South Cherylstad
148|27|Shawport
149|27|South Patrickport
150|27|Lake Antonio
151|27|Baileychester
152|28|Smithbury
153|28|North Michaelbury
154|28|Sharonhaven
155|29|Jonesville
156|29|Villafurt
157|29|New Lori
158|29|Curryshire
159|29|Jenningsside
160|30|East James
161|30|Briannaton
162|30|Danielburgh
163|30|Kristinaview
164|30|Pachecohaven
165|31|Rebeccamouth
166|31|Lake Stacyview
167|31|Lanemouth
168|31|Smithbury
169|31|New Tinaview
170|31|New Michele
171|31|Taylorhaven
172|32|Lake Darrellland
173|32|Dawsonhaven
174|32|Vaughnchester
175|33|Port Jimmyfort
176|33|Andrewview
177|33|Jordanland
178|33|East Alexisbury
179|33|Jacksonstad
180|33|Port David
181|33|Juarezchester
182|33|Elliottfurt
183|34|North Julieview
184|34|Sanfordfort
185|34|South Kimberly
186|34|Shaneberg
187|34|West Jerry
188|34|North David
189|35|Aarontown
190|35|Lake Whitney
191|35|Royhaven
192|36|South Christian
193|36|East Todd
194|36|Hicksport
195|36|Leemouth
196|36|North Barbara
197|37|Port Shawn
198|37|North Janemouth
199|37|Dixonton
200|37|Edwinchester
201|37|Loganton
202|37|Darrenton
203|38|East Rachel
204|38|Port Frederickland
205|38|Williammouth
206|38|Ryantown
207|39|New Vincentland
208|39|Port Lawrencestad
209|39|Port Anthony
210|39|Graytown
211|39|Brookefurt
212|39|New Richardmouth
213|39|East Christine
214|40|North Crystalchester
215|40|Lake Mark
216|40|East Williamhaven
217|41|Lake Nicole
218|41|North Jeremy
219|41|Simonshire
220|41|Williamsonfort
221|41|Lake Matthew
222|41|Johnside
223|42|Lake Patrickmouth
224|42|East Josephburgh
225|42|East Angelafort
