pracownik_w_projekcie_id|pracownik_id|projekt_id
1|1399|1
2|9152|1
3|6686|1
4|4204|1
5|9738|1
6|6044|1
7|6598|1
8|5138|2
9|4808|2
10|3155|2
11|99|2
12|3936|2
13|5955|2
14|325|3
15|5561|3
16|6426|3
17|7554|3
18|6240|3
19|5922|4
20|3551|4
21|5245|4
22|8632|4
23|8971|4
24|4047|4
25|396|5
26|6832|5
27|7057|5
28|271|5
29|706|5
30|4793|6
31|2977|7
32|1885|7
33|2168|7
34|5361|7
35|7482|7
36|979|7
37|9759|8
38|475|8
39|4501|8
40|3368|8
41|6290|8
42|3444|8
43|2166|8
44|7650|8
45|9229|9
46|7882|9
47|2972|9
48|626|10
49|5653|10
50|9368|10
51|9818|10
52|4500|10
53|2147|11
54|6940|11
55|3867|11
56|7380|11
57|6329|11
58|1890|11
59|2820|11
60|2493|11
61|6580|12
62|8492|12
63|8203|12
64|6596|12
65|6139|12
66|6768|12
67|3586|12
68|1401|12
69|1606|13
70|9809|13
71|3241|13
72|7909|13
73|6691|13
74|2655|13
75|8395|14
76|1767|14
77|1465|14
78|4685|15
79|3405|15
80|8782|16
81|2387|16
82|7669|16
83|4792|16
84|5160|16
85|6709|16
86|7731|16
87|1031|16
88|7063|16
89|8764|16
90|4948|17
91|5419|17
92|2392|18
93|1333|19
94|8942|19
95|3234|19
96|9719|19
97|3191|19
98|6909|19
99|7308|19
100|5050|19
101|5434|19
102|8692|19
103|2565|20
104|4608|21
105|8103|22
106|5977|22
107|4866|22
108|1624|22
109|9867|22
110|4284|22
111|6264|22
112|3867|22
113|6409|22
114|4509|23
115|4229|23
116|6736|23
117|1226|23
118|6528|24
119|3160|24
120|4990|24
121|2581|24
122|9681|24
123|445|25
124|8413|25
125|2051|25
126|6520|25
127|8560|25
128|8577|25
129|3234|25
130|5481|25
131|9564|26
132|2511|26
133|3924|26
134|6386|26
135|5086|26
136|5023|26
137|8817|26
138|3248|27
139|6664|28
140|6565|28
141|2086|28
142|9206|28
143|6292|28
144|917|28
145|9664|29
146|6267|29
147|2837|29
148|5607|30
149|1943|30
150|2719|30
151|7852|30
152|3001|30
153|149|30
154|5214|30
155|1390|30
156|3881|30
157|767|30
158|7704|31
159|9354|31
160|5333|31
161|9233|31
