ulica_id|miasto_id|nazwa
1|1|Cynthia Cape
2|1|Heidi Extension
3|1|Darrell Land
4|1|Colin Inlet
5|1|Robertson Prairie
6|1|Theresa Rest
7|1|Heath Inlet
8|1|Kristina Well
9|1|Jessica Corner
10|1|Brennan Forges
11|1|Thomas Key
12|1|Edwards Roads
13|1|Leonard Shoal
14|1|Garcia Haven
15|1|Linda Lakes
16|2|Mendoza Creek
17|2|Matthew Crescent
18|2|Lynch Stravenue
19|2|Washington Trail
20|2|Serrano Path
21|2|Holmes Alley
22|2|Alexis Route
23|2|Brittany Isle
24|2|Austin Mount
25|2|Scott Key
26|3|Jefferson Falls
27|3|Jeffrey Radial
28|3|Laura Field
29|3|Dawn Square
30|3|James Spurs
31|3|Scott Well
32|3|Thompson Flat
33|3|Frazier Canyon
34|3|Janet Cliffs
35|3|Jones Haven
36|3|Reed Circles
37|3|Michael Centers
38|3|Anita Via
39|3|Costa Lights
40|3|Rodriguez Pike
41|3|Johnson Port
42|4|Kevin Causeway
43|4|Gonzalez Rapid
44|4|Castillo Pass
45|4|Matthew Hills
46|4|Ortega Motorway
47|4|Hayes Green
48|4|Conley Harbors
49|4|Brown Coves
50|4|Alexandria Stravenue
51|4|Knight View
52|4|Mcintosh Groves
53|4|Arnold Trafficway
54|4|John Extension
55|4|David Vista
56|4|Susan Ports
57|4|Owens Fall
58|4|Campos Mill
59|4|Ramos Trace
60|4|Horn Shoals
61|4|Sarah Roads
62|4|Harris Crossroad
63|4|Smith Plain
64|4|Woods Vista
65|4|Vanessa Park
66|4|Trevor Tunnel
67|4|Michelle Glens
68|5|Matthew Garden
69|5|Steven Valley
70|5|Justin Radial
71|5|John Hill
72|5|White Pines
73|5|Michael Loaf
74|5|Perez Lakes
75|5|Cheryl Court
76|5|Wilson Shoals
77|5|Kenneth Vista
78|5|Kelley Springs
79|5|David Burg
80|5|Miller Islands
81|5|Kristin Square
82|5|Crawford Spurs
83|5|Garcia Meadow
84|6|Rachel Lodge
85|6|Charles Burgs
86|6|Carlos Gardens
87|6|Bailey Fields
88|6|Edwards Ramp
89|6|Davis Extension
90|6|Nancy Forge
91|6|Rios Cliffs
92|6|Shannon Radial
93|6|Pennington Ferry
94|6|Bradley Fields
95|6|Mcfarland Glen
96|6|Bright Cliff
97|6|Melissa Greens
98|6|Pratt Bridge
99|7|Joseph Villages
100|7|Norman Manor
101|7|Rangel Lodge
102|7|Williams Turnpike
103|7|Chaney Ridge
104|7|Jennifer Lodge
105|7|Ian Stream
106|7|Robbins Canyon
107|7|Lee Knoll
108|7|Amy Highway
109|7|Castillo Courts
110|7|Jimmy Way
111|7|Martinez Forks
112|7|Valerie Stream
113|7|Charles Junction
114|7|Evan Manor
115|7|Jennifer Trail
116|7|Martin Plaza
117|7|Perez Rapid
118|7|Joel Haven
119|7|Gregory Ports
120|7|Parsons Alley
121|7|Wade Manors
122|7|Meyer Mission
123|7|Lisa Manor
124|7|Kathy Vista
125|8|Herrera Extensions
126|8|Decker Via
127|8|Daniel Springs
128|8|Joann Route
129|8|Thomas Mount
130|8|Wong Mill
131|8|Osborne Rapids
132|8|Rosario Land
133|8|Heidi Radial
134|8|Doyle Points
135|8|Cook Expressway
136|8|Scott Fields
137|8|Emily Station
138|8|Lopez Coves
139|8|Gregory Plaza
140|8|Fitzgerald Crest
141|8|Gomez Walks
142|8|Raymond Mews
143|8|Theresa Mission
144|8|Robert Brook
145|8|Megan Isle
146|8|Devin Brook
147|8|Roberts Flat
148|8|Timothy Isle
149|8|Bird Inlet
150|8|Henry Tunnel
151|8|Rodriguez Isle
152|8|Zhang Shore
153|8|Timothy Course
154|9|Shannon Center
155|9|Johnson Knolls
156|9|Johnson Shoals
157|9|Jones Courts
158|9|Prince Loop
159|9|Cory Springs
160|9|Cooper Parks
161|9|Bailey Drive
162|9|Kimberly Manor
163|9|Robert Curve
164|9|Ferrell Harbors
165|9|Wilson Estate
166|9|Amanda Pike
167|9|Jennifer Flat
168|9|William Branch
169|9|Janet Ports
170|9|Martinez Islands
171|9|Krista Club
172|9|Wright Islands
173|9|Andrew Highway
174|10|Gonzalez Locks
175|10|Charles Drive
176|10|Prince Run
177|10|Dennis Ramp
178|10|James Harbors
179|10|Curtis Flat
180|10|Garrett Drives
181|10|Peter Spur
182|10|Robert Motorway
183|10|Waller Road
184|11|Acosta Plains
185|11|Zachary Alley
186|11|Ashley Pass
187|11|Benson Islands
188|11|Michael Wells
189|11|Ross Inlet
190|11|Christine Burgs
191|11|Tyler Shores
192|11|Brian Viaduct
193|11|Adams Plain
194|11|Sawyer Plains
195|11|Elizabeth Creek
196|11|Chad Plains
197|11|Colleen Valleys
198|11|Alyssa Square
199|11|Jones Parks
200|11|Palmer Loaf
201|11|Debbie Plaza
202|11|Beth Center
203|11|Peterson Neck
204|11|Anita Curve
205|11|Jordan Mountain
206|11|Smith Estate
207|11|Jason Estates
208|11|Melissa Pine
209|11|Rodriguez Ville
210|11|Kayla Glens
211|12|Hill Glens
212|12|Turner Oval
213|12|Perez Throughway
214|12|Jones Roads
215|12|Collins Ford
216|12|Gates Lake
217|12|Park Unions
218|12|Luis Roads
219|12|Potter Crossroad
220|12|Kim Viaduct
221|12|John Well
222|12|Tucker Freeway
223|12|Brian Plains
224|12|Adrian Ridges
225|12|Smith Fall
226|12|Melissa Port
227|12|Jonathan Fork
228|12|Romero Field
229|12|Jeremy Oval
230|12|Joshua River
231|12|Sanchez Squares
232|12|Berry Plains
233|12|Michael Walks
234|12|Robert Rest
235|13|Desiree Hollow
236|13|John Falls
237|13|Gregory Junction
238|13|Davidson Ranch
239|13|Richardson Vista
240|13|Christopher Common
241|13|Lindsey Ports
242|13|Timothy Station
243|13|Robert Plains
244|13|Kimberly Spur
245|13|Diaz Stravenue
246|13|Fields Skyway
247|13|Rodriguez Fields
248|13|Eddie River
249|13|Howard Falls
250|13|Janice Lodge
251|13|Christina Fall
252|13|Kelly Cove
253|13|Dominguez Greens
254|13|Gomez Springs
255|13|Winters Dale
256|13|Christopher Roads
257|13|Campbell Haven
258|14|Theresa Meadows
259|14|Young Forest
260|14|Daniel Freeway
261|14|Lamb Locks
262|14|Emily Garden
263|14|Tami Row
264|14|Joseph Point
265|14|David Forks
266|14|Turner Cliff
267|14|David Island
268|14|Olivia Prairie
269|14|Duran Motorway
270|14|Olson Wall
271|14|Natalie Knolls
272|14|Cooper Valley
273|14|Mitchell Lake
274|14|Erik Radial
275|14|Rodriguez Ramp
276|14|Angela Heights
277|14|Robert Pine
278|14|Doyle Walk
279|14|Hunter Station
280|14|Bobby View
281|14|Ross Stream
282|14|Joseph Ports
283|14|Holt Springs
284|14|Wright Trace
285|15|Charles Walk
286|15|Navarro Island
287|15|Abbott Estates
288|15|Ho Radial
289|15|Erin Summit
290|15|Castillo Roads
291|15|Karen Views
292|15|Jesus Neck
293|15|Hunt Stream
294|15|Dunn Point
295|15|May Common
296|15|Wagner Overpass
297|15|Ryan Walks
298|15|Jeffrey Mews
299|15|Richard Camp
300|15|Erica Manor
301|15|Micheal Canyon
302|15|Cynthia Forge
303|15|Flores Ports
304|15|Derrick Crossroad
305|15|Ryan Roads
306|15|Jacqueline Pines
307|15|Alexandra Road
308|15|Julia View
309|15|Wright Lakes
310|15|Smith Wall
311|15|Marissa River
312|15|Murphy Wall
313|16|Courtney Canyon
314|16|Kenneth Roads
315|16|Anderson Wall
316|16|Carter Crossroad
317|16|Armstrong Road
318|16|Ramos Key
319|16|Ashley Bridge
320|16|Wanda Mountains
321|16|Hector Squares
322|16|Daniel Alley
323|16|Sanchez Camp
324|16|Koch Summit
325|16|Todd Road
326|16|Thomas Cliffs
327|16|Travis Crossroad
328|16|Watkins Streets
329|16|Sims Meadow
330|16|Martin Station
331|16|Ashley Land
332|16|Jose Junction
333|16|Jessica Hill
334|16|Reed Manor
335|16|Morgan Spurs
336|16|Clark Greens
337|16|Kathleen Junctions
338|17|Bishop Valley
339|17|Erin Locks
340|17|Christine Lodge
341|17|Vickie Valleys
342|17|Timothy Brooks
343|17|Hughes Junctions
344|17|Ashley Wells
345|17|Perez Coves
346|17|Melanie Row
347|17|Johnson Extension
348|17|Rachel Oval
349|17|Barrett Greens
350|17|Wood Loop
351|17|Latoya Via
352|17|Danielle Wells
353|17|Lawson Tunnel
354|17|Hudson Prairie
355|17|Andre Place
356|17|Katrina Ranch
357|17|Thornton Pass
358|17|Parks Pike
359|17|Baker Causeway
360|17|Gardner Meadows
361|17|Elizabeth Turnpike
362|17|Sims Via
363|18|Kathleen Junction
364|18|Jonathan Court
365|18|James Station
366|18|Michael Cape
367|18|Donna Plains
368|18|Shelly Heights
369|18|Lynn Divide
370|18|James Ports
371|18|Ashley Mission
372|18|Hubbard Trafficway
373|19|Hamilton Center
374|19|James Orchard
375|19|Brittany Corners
376|19|Browning Cliffs
377|19|Kelly Heights
378|19|Villegas Shore
379|19|Lisa Springs
380|19|Rhonda Villages
381|19|Matthew Throughway
382|19|Huang Lakes
383|19|Hamilton Branch
384|19|Catherine Mews
385|19|Strickland Villages
386|19|Vanessa Parkway
387|19|Rhodes Island
388|19|Elizabeth Fords
389|19|William Port
390|19|Green Route
391|19|Kimberly Meadows
392|19|Beth Ramp
393|19|James Knolls
394|19|Adam Circle
395|19|Taylor Inlet
396|19|Kirk Tunnel
397|19|Gill Street
398|19|Castro Island
399|19|Phillips Crest
400|19|Chad Ramp
401|19|Reid Knoll
402|20|Jeremy Groves
403|20|Payne Flats
404|20|David Meadows
405|20|Jackson Burg
406|20|Sanchez Spurs
407|20|Norris Green
408|20|Lisa Street
409|20|Glover Garden
410|20|Bright Manor
411|20|Turner Mews
412|20|Maria Ridge
413|20|Leon Streets
414|20|Mitchell Plains
415|20|Ian Cove
416|20|Peggy Fall
417|20|Meyer Points
418|20|Steven Squares
419|20|Yvette Spurs
420|20|Norton Tunnel
421|20|Young Mountains
422|20|Davis Plaza
423|20|Knight Forge
424|20|Montoya Port
425|20|Mason Union
426|20|Johnston Ports
427|21|Brianna Trail
428|21|Rivera Extensions
429|21|James Neck
430|21|Kyle Groves
431|21|Clark Port
432|21|Alicia Wall
433|21|Martin Forge
434|21|Lynn Corners
435|21|Kyle River
436|21|Williams Plain
437|21|Carlos Plaza
438|21|Jones Underpass
439|21|Garcia Harbor
440|21|Katherine Haven
441|21|Brown Stravenue
442|22|Raymond Island
443|22|Dawn Curve
444|22|Eric Isle
445|22|Christina Valleys
446|22|Dennis Road
447|22|Martin Manor
448|22|Chase Drive
449|22|Perez Square
450|22|Suzanne Springs
451|22|Sharon Neck
452|22|Michelle Ville
453|22|Reed Plain
454|22|Campbell Key
455|22|Randy Hollow
456|22|Christopher Rapid
457|23|Stephanie Springs
458|23|Castaneda Terrace
459|23|Sierra Stream
460|23|Claudia Village
461|23|Thompson Ford
462|23|Weaver Burgs
463|23|Ball Camp
464|23|Lisa Inlet
465|23|Patricia Gateway
466|23|Leslie Alley
467|23|Mckee Wall
468|23|Daniel Drives
469|23|Michael Bypass
470|23|Tucker Plains
471|23|Brian Row
472|23|Suarez Shoals
473|23|Melinda Station
474|23|Smith Burg
475|23|Smith Plaza
476|23|Lopez Orchard
477|23|Nguyen Avenue
478|23|Dave Grove
479|23|Deborah Plains
480|23|Linda Mountains
481|23|Phillips Ville
482|23|Gabriella Isle
483|23|Sanchez Summit
484|24|Buckley Corner
485|24|Galvan Loop
486|24|Luis Avenue
487|24|Mark Stream
488|24|Griffith Common
489|24|Susan Ford
490|24|Charles Summit
491|24|Brittany Springs
492|24|Paul Pass
493|24|Howard Village
494|24|Christopher Ridges
495|24|David Plaza
496|24|Tiffany Court
497|24|Parker Groves
498|25|Potts Parkway
499|25|Theodore Fields
500|25|Lopez Mission
501|25|Santos Trail
502|25|Morris Vista
503|25|Juan Path
504|25|Shawn Run
505|25|Powell Gardens
506|25|Hernandez Bypass
507|25|Timothy Turnpike
508|26|Torres Radial
509|26|Kimberly Cape
510|26|Jesse Meadows
511|26|Taylor Knolls
512|26|Brown Trail
513|26|David Station
514|26|Lindsey Mission
515|26|Rogers Drive
516|26|Garza Run
517|26|Cruz Crest
518|26|Debra Junctions
519|26|Garrett Avenue
520|26|Robin Path
521|26|Hughes Harbors
522|26|Stephanie Springs
523|26|Sawyer Ferry
524|26|Williams Ridge
525|26|Nicholas Estates
526|26|Schroeder Lakes
527|26|Curtis Heights
528|26|Weber Creek
529|26|Green Mission
530|26|Gloria Parkways
531|26|Kathryn Shoals
532|26|George Flats
533|26|Fischer Knolls
534|27|Doyle Junctions
535|27|Anna Dam
536|27|Tracy Circles
537|27|Bailey Causeway
538|27|Kathryn Camp
539|27|Proctor Stravenue
540|27|Thomas Squares
541|27|Mia Crest
542|27|Hardin Place
543|27|Jacqueline Cliffs
544|27|Kimberly Roads
545|27|Andrew Underpass
546|27|Jones Centers
547|27|Stewart Stravenue
548|27|Huber Heights
549|27|Miranda Ford
550|27|Lutz Plaza
551|27|Thomas Row
552|27|Joshua Dale
553|27|Sherry Isle
554|27|Rodriguez Square
555|27|Moore Squares
556|27|Wilson Junction
557|27|Kenneth Unions
558|27|Brown Drive
559|27|Obrien Road
560|27|Angela Pine
561|27|Christopher Rapid
562|27|Scott Orchard
563|28|Tyler Road
564|28|Traci Via
565|28|Hart View
566|28|Jerry Lodge
567|28|Carolyn Summit
568|28|Jackson Harbor
569|28|Jose Street
570|28|Davis Ford
571|28|Stacy Meadow
572|28|Neal Park
573|28|Bell Route
574|28|Davis Walks
575|28|Aaron Street
576|28|Maria Rest
577|28|Danielle Mall
578|28|Brianna Inlet
579|28|Jennifer Road
580|28|Sullivan Fields
581|28|Marvin Cape
582|28|Case Knolls
583|28|Nicole Flats
584|28|Duncan Loop
585|29|James Freeway
586|29|Johnson Squares
587|29|Powell Field
588|29|Kevin Creek
589|29|Cobb Spur
590|29|Hicks Stream
591|29|Valentine Manor
592|29|Sellers Terrace
593|29|Nelson Streets
594|29|Zachary Light
595|29|Charles Pike
596|29|Laura Valley
597|29|Douglas Causeway
598|29|Patrick Heights
599|29|Christopher Neck
600|29|Nguyen Pines
601|29|Carol Views
602|29|Richards Grove
603|29|Andrea Forges
604|29|Connor Springs
605|29|Jones Ferry
606|29|Fisher Cliff
607|29|Johnson Isle
608|29|Cooper Garden
609|29|Sherri Parkways
610|29|Eric Road
611|29|Montgomery Mount
612|29|Jason Highway
613|30|Anthony Lodge
614|30|Jacob Extensions
615|30|Sarah Green
616|30|Shaun Park
617|30|Barbara Alley
618|30|Jackson Mall
619|30|Judith Trail
620|30|Jennifer Union
621|30|Griffin Cliffs
622|30|Steven Circles
623|30|Sophia Corners
624|30|Michael Plains
625|30|Peggy Street
626|30|Horn Run
627|30|Sean Track
628|30|Allison Rest
629|30|Schmidt Locks
630|30|Aguirre Ferry
631|30|Angelica Passage
632|30|Thomas Springs
633|30|Troy Garden
634|30|Patterson Springs
635|30|Richard Points
636|30|Anderson Highway
637|30|Chan Inlet
638|30|Debbie Field
639|30|Benjamin Falls
640|30|Robles Locks
641|31|Flores Islands
642|31|Veronica Tunnel
643|31|Mcgee Heights
644|31|Fuentes Roads
645|31|Cheryl Streets
646|31|Anderson Viaduct
647|31|Cruz Run
648|31|Amanda Forest
649|31|James Viaduct
650|31|Copeland Dam
651|31|Franklin Courts
652|31|Miller Tunnel
653|31|Stephanie Trail
654|31|David Prairie
655|31|Gardner Meadow
656|31|Mclean Parkway
657|31|Barnett Shores
658|31|Brooks Prairie
659|31|Colleen Valley
660|32|Hernandez Square
661|32|Johnson Locks
662|32|Jennifer Crossing
663|32|Mathews Fort
664|32|Karen Courts
665|32|Tom Court
666|32|Jimenez Terrace
667|32|Bryant Club
668|32|Lori Trafficway
669|32|Arnold Courts
670|32|Amanda Lodge
671|32|Campbell Stream
672|32|Michael Ville
673|32|Tapia Junction
674|32|Tran Springs
675|32|Billy Mews
676|32|Mora Spring
677|32|Gomez Inlet
678|32|English Dam
679|32|Reeves Ville
680|32|Curtis Garden
681|32|Chavez Mews
682|32|Maria Groves
683|32|Sandoval Pike
684|32|Nancy Squares
685|32|Jennifer Drives
686|33|Reid Mission
687|33|Patricia Shoals
688|33|Perez Field
689|33|Garcia Fork
690|33|Stephanie Walks
691|33|Macdonald Plaza
692|33|Henderson Wells
693|33|Christopher Estate
694|33|Gary Isle
695|33|Wilson Mall
696|33|Dixon Ridge
697|33|Allen Stream
698|33|Geoffrey Summit
699|33|Jasmin Estate
700|33|Leah Estate
701|33|Clark Station
702|34|Jessica Locks
703|34|Steven Rapids
704|34|Murphy Plain
705|34|Zuniga Radial
706|34|Ellison Brook
707|34|Michelle Port
708|34|Bruce Union
709|34|Anna Inlet
710|34|James Pass
711|34|Mikayla Wall
712|34|Manning Glen
713|34|Kelly Bridge
714|34|Bailey Trail
715|34|Mcdonald Shore
716|34|Walsh Crest
717|34|Villanueva Gateway
718|34|Chelsea Circle
719|35|Jerry Village
720|35|Kennedy Run
721|35|Peter Walks
722|35|Brown Summit
723|35|Walsh Shore
724|35|Riley Green
725|35|Alicia Mills
726|35|Hudson Crossroad
727|35|Kathleen Garden
728|35|Rose Brook
729|35|Kyle Terrace
730|35|Ortega Flat
731|35|Audrey Estates
732|35|Jeremy Ford
733|35|Jonathan Turnpike
734|35|Jones Overpass
735|35|Stephen Key
736|35|Amy Green
737|35|Donald Plain
738|35|Rhonda Mission
739|35|Nathaniel Fields
740|35|Anna Inlet
741|35|David Roads
742|35|Amy Cliffs
743|36|Ramirez Prairie
744|36|Michael Bridge
745|36|Richards Plain
746|36|Miller Crest
747|36|Micheal Run
748|36|Henry River
749|36|Jonathan Pike
750|36|Roy Bypass
751|36|Candice Street
752|36|Anderson Shores
753|36|Nichole Ways
754|36|Sheryl Summit
755|36|Timothy Forges
756|36|Bonnie Roads
757|36|Taylor Springs
758|37|Tyler Vista
759|37|Adriana Green
760|37|Roth Lights
761|37|Michelle Circle
762|37|White Greens
763|37|Mary Via
764|37|Garcia Key
765|37|Owen Cliffs
766|37|Gregory Knolls
767|37|Ferguson Freeway
768|37|Lopez Roads
769|37|Lara Points
770|37|Donna Cape
771|37|Michael Falls
772|37|Singleton Parks
773|37|Cory Fords
774|37|Brian Lodge
775|37|Sydney Forest
776|37|Craig Stream
777|37|Fleming Trail
778|37|Zavala Pike
779|38|Adkins Squares
780|38|Shaw Key
781|38|Natasha Mills
782|38|Rios Summit
783|38|Colon Canyon
784|38|Gregory Park
785|38|Armstrong Park
786|38|Brandi Meadow
787|38|Kim Throughway
788|38|Jennifer Mountains
789|38|Rodriguez Street
790|39|Bryan Loaf
791|39|Guzman Flats
792|39|Keith Mill
793|39|Paul Bypass
794|39|Bridges Hills
795|39|Cory Green
796|39|Kara Branch
797|39|Brooks Stream
798|39|Robert Tunnel
799|39|Alison Extensions
800|39|Kennedy Skyway
801|39|Pamela Common
802|39|Raven Underpass
803|40|Lindsey Trace
804|40|Lawrence Highway
805|40|Evans Drive
806|40|Perez Brook
807|40|Frank Camp
808|40|Steven Centers
809|40|Christopher Loaf
810|40|Campbell Parkway
811|40|Alex Trail
812|40|Walls Manor
813|40|Marshall Forges
814|40|Brown Turnpike
815|40|Shannon Court
816|40|Parrish Spring
817|40|Michelle Ville
818|40|Amy Rue
819|40|Michael Green
820|40|Davis Ridges
821|40|Emily Tunnel
822|40|Richard Villages
823|40|Gordon Union
824|40|Wheeler Estate
825|40|Karen Fords
826|40|Hubbard Lodge
827|40|Campos Estates
828|40|Wu Ports
829|40|Summers Throughway
830|40|Ann Trafficway
831|40|Reginald Heights
832|40|Cory Trail
833|41|Samantha Junction
834|41|Lane Harbor
835|41|Jerry Junction
836|41|Nicholas Spurs
837|41|Jensen Parkway
838|41|Spencer Corner
839|41|Scott Overpass
840|41|Paul Knolls
841|41|Megan Viaduct
842|41|Lisa Square
843|41|Beck Forges
844|41|Brandi Mountain
845|41|Bradley Shores
846|41|Jenkins Alley
847|41|Brooks Avenue
848|42|Stephen Underpass
849|42|Clayton Expressway
850|42|Sheila Key
851|42|Ibarra Walks
852|42|Johnny Pass
853|42|Patterson Hollow
854|42|Timothy Throughway
855|42|Skinner Avenue
856|42|Gregory Burg
857|42|Smith Divide
858|42|Alan Lake
859|42|Jensen Drives
860|42|Richard Knoll
861|42|Rice Station
862|42|Anita Estates
863|42|Callahan Run
864|42|Hall Ports
865|42|Price Mountain
866|42|Cynthia Tunnel
867|42|Stevens Fort
868|42|Roberts Parkway
869|42|Christopher Club
870|42|Michele Fields
871|42|Craig Glen
872|42|Smith Vista
873|42|Stephanie Bypass
874|42|Jones Throughway
875|42|Marcus Harbors
876|42|Stephanie Passage
877|42|Sierra Island
878|43|Garcia Lodge
879|43|Nunez Points
880|43|Fischer Key
881|43|Edward Parkway
882|43|Fisher Trafficway
883|43|Herring Ranch
884|43|Coffey Islands
885|43|Moreno Knolls
886|43|Martinez Flats
887|43|Dawn Ranch
888|43|Sparks Well
889|43|Sandra Keys
890|43|Bradley Hill
891|43|Jeremy Courts
892|44|Maldonado Springs
893|44|Garrison Springs
894|44|Ronnie Plaza
895|44|Crystal Fort
896|44|Harris Lodge
897|44|Stephens Unions
898|44|Kevin Station
899|44|Cunningham Orchard
900|44|Xavier Crossroad
901|44|Anderson Circle
902|44|John Flat
903|44|Brittany Prairie
904|44|Michael Corner
905|44|Douglas Locks
906|44|Sue Parkways
907|44|Mitchell Summit
908|44|Joel Shoal
909|44|Fowler Groves
910|44|Kirby Way
911|44|Kathy Station
912|44|Hall Mews
913|44|Michael Fall
914|44|Jordan Curve
915|44|Jessica Crossroad
916|44|Brown Branch
917|45|Fitzpatrick Pass
918|45|Beck Causeway
919|45|Tyler Gardens
920|45|Morse Circles
921|45|Santiago Route
922|45|Tyler Fall
923|45|Julia Junction
924|45|Joann Prairie
925|45|Barr Turnpike
926|45|Joseph Alley
927|45|Strickland Summit
928|45|Lucas Canyon
929|45|Randy Mall
930|45|Justin Plains
931|45|Wade Square
932|45|John Trace
933|45|Charles Gardens
934|45|Amanda Run
935|45|Emily Grove
936|45|Zachary Port
937|45|Mark Grove
938|45|Smith Center
939|45|Powers Rapids
940|46|Jones Burg
941|46|Garcia Garden
942|46|Richardson Village
943|46|Hanson Inlet
944|46|Lucas Walks
945|46|Cordova Overpass
946|46|Luke Forge
947|46|Lisa Lane
948|46|Steven Brooks
949|46|Jared Radial
950|46|Chen Neck
951|46|Dean Throughway
952|46|Nancy Dam
953|46|Gentry Lake
954|46|Parker Vista
955|46|Jacob Turnpike
956|46|Danny Centers
957|46|Kaylee Inlet
958|46|Kyle Junction
959|46|Roberts Alley
960|46|Savannah Village
961|46|Courtney Ports
962|46|Antonio Heights
963|46|Sean Pines
964|46|Austin Summit
965|47|Padilla Highway
966|47|Robin Hill
967|47|Garcia Key
968|47|Alex Mountains
969|47|Cline Glens
970|47|Nicholas Groves
971|47|Kevin Shoal
972|47|Tracy Parkway
973|47|Jon Mount
974|47|Mark Parkway
975|47|Deanna Fords
976|47|Holt Island
977|47|Monica Grove
978|48|Boyd Creek
979|48|Martin Via
980|48|Kurt Ridges
981|48|Davis Well
